"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","PowerDbWithNoise","NoisevalueDb"
"M1",9,"Spectrogram 1",1,2548.136218779,2552.624901599,580,1080.8,4.4887,-26.51,24.68,"1_Hfunstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",69.2536756667345,70.4496821161211,52.6369239538907
"M1",10,"Spectrogram 1",1,2563.532931729,2565.068338949,143.4,470.1,1.5354,-46.94,11.81,"1_Pmor_start","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",21.8909002913758,49.349827570899,48.9737867011587
"M1",11,"Spectrogram 1",1,2566.093701289,2567.124317089,159.3,709.1,1.0306,-40.27,11.43,"1_Pmor_P1","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",48.7412566454065,56.0505990893962,51.1520019009653
"M1",12,"Spectrogram 1",1,2552.669519279,2559.466279029,580,1425,6.7968,-28.8,23.53,"1_Hfuntrill","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",67.1262986242554,68.1481151072584,49.0533868748823
"M1",13,"Spectrogram 1",1,2568.368806709,2569.142179809,326.7,756.9,0.7734,-28.12,18.74,"1_Pmor_P2","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",66.7411306273118,67.9416575167292,50.1594584917681
"M1",14,"Spectrogram 1",1,2570.495582729,2571.477171669,294.8,669.3,0.9816,-38.62,12.54,"1_Pmor_P3","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",53.1990137120258,57.8925073489179,50.3048168177009
"M1",15,"Spectrogram 1",1,2573.023917869,2573.841908649,318.7,693.2,0.818,-35.1,15.43,"1_Pmor_P4","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",57.304959720288,60.4418744600546,50.0743381650579
"M1",16,"Spectrogram 1",1,2575.539821669,2576.342939889,278.9,605.5,0.8031,-42.19,11.35,"1_Pmor_P5","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",43.2368903268022,53.297427784018,50.0235120391736
"M1",17,"Spectrogram 1",1,2578.335862879,2579.198471339,294.8,701.1,0.8626,-34.89,14.89,"1_Pmor_P6","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",57.1575758094507,60.4815884138556,50.5294875915758
"M1",18,"Spectrogram 1",1,2581.139773909,2582.255215879,255,669.3,1.1154,-43.4,10.97,"1_Pmor_P7","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",43.1562303311085,53.4068088801772,50.2185242367502
"M1",19,"Spectrogram 1",1,2584.203521189,2585.527178999,159.3,390.4,1.3237,-48.91,10.75,"1_Pmor_P8","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",23.466847956783,47.206779625582,46.6228866121483
"M1",20,"Spectrogram 1",1,2587.755782179,2589.094312549,127.5,398.4,1.3385,-49.17,11.01,"1_Pmor_P9","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",16.3111277908047,47.3433466514411,47.0959616819309
"M1",21,"Spectrogram 1",1,2591.272002369,2592.818748569,127.5,398.4,1.5467,-48.61,11.94,"1_Pmor_P10","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",27.7921217329561,47.9038109306958,47.0009828397385
"M1",22,"Spectrogram 1",1,2615.083321659,2622.276599259,589.6,1381.6,7.1933,-31.46,15.36,"1_Halbstart","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",60.9286849975198,65.3127478553565,57.2739701644886
"M1",23,"Spectrogram 1",1,2622.444863059,2627.114183659,748.9,1593.5,4.6693,-26.06,21.51,"1_Halbpeak","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",69.4046681534374,70.1158246241033,48.0256895110686
"M1",24,"Spectrogram 1",1,2627.501441759,2630.509157259,358.5,900.3,3.0077,-38.08,12.34,"1_Halbend","M1_20190823_064003",116.971518024802,4.74323401227593,"20190823","0640",54.5945370738639,58.7823311989272,50.4358209708079
