"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","Call.type","PowerDb","PowerDbWithNoise","NoisevalueDb"
34,"Spectrogram 1",1,1817.499673559,1818.404091559,31.9,207.2,11.54,"1_PwurS_S5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","1_PwurS_S5",37.878071173454,64.2150671104417,63.7858766193957
43,"Spectrogram 1",1,1860.555218779,1865.043901599,580,1080.8,12.86,"2_Hfunstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Hfunstart",59.1217854021005,64.066791019209,56.8183253484336
44,"Spectrogram 1",1,1875.951931729,1877.487338949,143.4,470.1,11.59,"2_Pmor_start","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_start",39.1563018088044,60.1516344183604,59.3403523561225
45,"Spectrogram 1",1,1878.512701289,1879.543317089,159.3,709.1,11.45,"2_Pmor_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P1",48.4464983950713,62.1920608266866,60.1944041026752
46,"Spectrogram 1",1,1865.088519279,1871.885279029,580,1526.5,11.46,"2_Hfuntrill","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Hfuntrill",52.249977728951,61.6641814421935,58.0775287103655
47,"Spectrogram 1",1,1880.787806709,1881.561179809,326.7,756.9,13.07,"2_Pmor_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P2",59.3986211495729,64.5573218128814,57.5797788216354
48,"Spectrogram 1",1,1882.914582729,1883.896171669,294.8,669.3,11.79,"2_Pmor_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P3",52.2335778288103,61.4472879193942,57.7563193421412
49,"Spectrogram 1",1,1885.442917869,1886.260908649,318.7,693.2,11.53,"2_Pmor_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P4",50.2258472709973,60.5090563037961,57.3352038575941
50,"Spectrogram 1",1,1887.958821669,1888.761939889,278.9,605.5,11.35,"2_Pmor_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P5",50.3429361532958,60.6053561118058,57.4223178700114
51,"Spectrogram 1",1,1890.754862879,1891.617471339,294.8,701.1,12.14,"2_Pmor_P6","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P6",57.3028827593285,63.6076713956795,57.8622558263895
52,"Spectrogram 1",1,1893.558773909,1894.674215879,255,669.3,11.42,"2_Pmor_P7","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P7",49.4062923804311,61.1179381013995,58.5064735785094
53,"Spectrogram 1",1,1896.622521189,1897.946178999,159.3,390.4,10.7,"2_Pmor_P8","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P8",44.519718531912,60.1461999931627,58.5752109207754
54,"Spectrogram 1",1,1900.174782179,1901.513312549,127.5,398.4,11.82,"2_Pmor_P9","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P9",37.3968972052059,60.140234357167,59.4825998633549
55,"Spectrogram 1",1,1903.691002369,1905.237748569,127.5,398.4,10.8,"2_Pmor_P10","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Pmor_P10",32.2827920306013,59.9943097358412,59.6292765990347
56,"Spectrogram 1",1,1927.502321659,1934.695599259,589.6,1381.6,10.87,"2_Halbstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Halbstart",43.7699125500968,59.7934135067797,58.2990251991915
57,"Spectrogram 1",1,1934.863863059,1939.533183659,748.9,1593.5,11.77,"2_Halbpeak","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","2_Halbpeak",53.6470634938227,61.5412528917586,57.0609354875291
